iter	Logloss
153	0.2488077421
154	0.2481304528
155	0.2473221392
156	0.2464402443
157	0.2454665411
158	0.244565154
159	0.2437384695
160	0.2424549112
161	0.2413143931
162	0.2403188039
163	0.2393597217
164	0.2380211541
165	0.2371551553
166	0.2368280675
167	0.2362054275
168	0.2356515368
169	0.2345487886
170	0.2336888443
171	0.2323076353
172	0.2315404753
173	0.2308173812
174	0.2298615363
175	0.2293249311
176	0.2283194956
177	0.2276109062
178	0.2269161713
179	0.2263506584
180	0.2254395855
181	0.2243802485
182	0.2236583165
183	0.222965065
184	0.2220360821
185	0.2210678351
186	0.2202807749
187	0.2195556033
188	0.2186471048
189	0.2182407339
190	0.2178551853
191	0.2172787616
192	0.216806033
193	0.2159112535
194	0.2154647682
195	0.2144446246
196	0.2137132525
197	0.2132458512
198	0.2126182683
199	0.2122205724
200	0.2115277921
201	0.2105885746
202	0.2098468842
203	0.2092505214
204	0.2084614715
205	0.2081592078
206	0.207540524
207	0.2067161748
208	0.2061834369
209	0.2054357514
210	0.2047357908
211	0.203789651
212	0.2035493299
213	0.2031174392
214	0.2020929498
215	0.2014939614
216	0.2007716842
217	0.2001234485
218	0.1993599574
219	0.198526976
220	0.1979772017
221	0.1975139292
222	0.1964723372
223	0.1950399924
224	0.1940727369
225	0.1933091726
226	0.192460003
227	0.1915236998
228	0.1908831369
229	0.1901239938
230	0.1897721227
231	0.1893127258
232	0.1885464795
233	0.1877657287
234	0.1870446568
235	0.1862449912
236	0.1856752657
237	0.1851394898
238	0.1846282035
239	0.1842085587
240	0.1836676259
241	0.1832140168
242	0.1825724557
243	0.181969263
244	0.1809813301
245	0.1804681199
246	0.1799652308
247	0.1791376353
248	0.1786452642
249	0.1782843769
250	0.1776930317
251	0.1769531026
252	0.1765365747
253	0.1761603162
254	0.1760257093
255	0.1756173299
256	0.1750359837
257	0.1743745347
258	0.1741123105
259	0.1738591294
260	0.1736060375
261	0.1732100331
262	0.1728216449
263	0.1722216148
264	0.1716080617
265	0.1714816446
266	0.1709388239
267	0.1705796423
268	0.1700051574
269	0.1693764687
270	0.1692090007
271	0.1688179021
272	0.1685366767
273	0.1681507688
274	0.1676425009
275	0.1671790731
276	0.1667601589
277	0.1663858413
278	0.1660979147
279	0.1658048478
280	0.1653917083
281	0.1649840696
282	0.1646795068
283	0.1640013551
284	0.1636962
285	0.1635294125
286	0.1630899749
287	0.1628531467
288	0.1625953712
289	0.1622960762
290	0.1617035491
291	0.161492226
292	0.1610877346
293	0.1607828562
294	0.1604219221
295	0.1595790045
296	0.158893827
297	0.1582888587
298	0.15794444
299	0.1577891498
300	0.1571381853
301	0.1565897729
302	0.1564134509
303	0.1560158262
304	0.1556183109
305	0.1553466714
306	0.155056191
307	0.1546395937
308	0.1541134942
309	0.1534504799
310	0.153115786
311	0.1527866248
312	0.15235925
313	0.1518642982
314	0.1515080585
315	0.1512799175
316	0.1509424727
317	0.1504918876
318	0.1500990744
319	0.149712174
320	0.149043657
321	0.1488185559
322	0.1484259169
323	0.1481976692
324	0.1473806429
325	0.146660891
326	0.146275328
327	0.145898832
328	0.1453908101
329	0.1447287461
330	0.1444699744
331	0.1440305363
332	0.1433851206
333	0.1428598427
334	0.1423073034
335	0.1420016743
336	0.1415566865
337	0.1413534169
338	0.1410767257
339	0.1405225854
340	0.1398812164
341	0.1394624175
342	0.1390257354
343	0.138936614
344	0.1387094059
345	0.1385174176
346	0.1381436093
347	0.1379035361
348	0.1373624264
349	0.1369710343
350	0.1366128372
351	0.1363877565
352	0.1359498095
353	0.1356836721
354	0.1354632901
355	0.1351065001
356	0.1345920366
357	0.1342919117
358	0.1338013996
359	0.1334316972
360	0.1330813415
361	0.1326982993
362	0.1323547796
363	0.1321270209
364	0.1314000894
365	0.1309557243
366	0.1307869106
367	0.1305320301
368	0.1300806714
369	0.1298908427
370	0.1295868421
371	0.1291977713
372	0.1290133989
373	0.1286027887
374	0.1281020568
375	0.127893107
376	0.1275762202
377	0.1274340219
378	0.1270357007
379	0.1269440545
380	0.1267580382
381	0.1265738338
382	0.1262761872
383	0.1256538606
384	0.1253436359
385	0.1249532779
386	0.1245595104
387	0.1241040818
388	0.1236570874
389	0.1235449968
390	0.1229632571
391	0.1223746982
392	0.1223703981
393	0.1220505487
394	0.1217539482
395	0.1213637723
396	0.1212531719
397	0.1210544602
398	0.1205117873
399	0.1202278799
400	0.119950479
401	0.1198248866
402	0.1193145647
403	0.1189338471
404	0.1185413918
405	0.1181056276
406	0.1177857042
407	0.117256012
408	0.1167403421
409	0.1165950536
410	0.1164333894
411	0.1161506058
412	0.1159031292
413	0.1155936389
414	0.115411677
415	0.1151766486
416	0.1150086393
417	0.1147342787
418	0.1143073486
419	0.1140132546
420	0.1136325993
421	0.1132906664
422	0.1130971794
423	0.1128419583
424	0.1125209284
425	0.1120218717
426	0.1116893551
427	0.1115152345
428	0.1113536093
429	0.1111529256
430	0.1109907345
431	0.110791605
432	0.1107059312
433	0.110567159
434	0.110219477
435	0.1098362088
436	0.1096498802
437	0.1093540947
438	0.1091542845
439	0.1090141352
440	0.1088402817
441	0.1085459915
442	0.1082524674
443	0.1080438771
444	0.1079586252
445	0.1074897816
446	0.1071362758
447	0.1068858282
448	0.1062983002
449	0.1059530245
450	0.1055427967
451	0.1052546786
452	0.1049046418
453	0.1046898103
454	0.1043718399
455	0.1042418025
456	0.1040565947
457	0.1037233592
458	0.1034191922
459	0.1032421587
460	0.1029825819
461	0.1024268115
462	0.1021877762
463	0.1019273161
464	0.1018498788
465	0.1012002939
466	0.1006580489
467	0.100209601
468	0.09987127099
469	0.0997733141
470	0.09944859249
471	0.09915324554
472	0.09884985312
473	0.09856688498
474	0.09839143102
475	0.09808153619
476	0.09784911066
477	0.09764840848
478	0.09729599157
479	0.09715439832
480	0.09685407226
481	0.09662373241
482	0.09647839527
483	0.09609776461
484	0.09593305339
485	0.09567414563
486	0.09552266244
487	0.0952836333
488	0.09514305641
489	0.095045519
490	0.09488812327
491	0.09457487308
492	0.09428609995
493	0.09409716661
494	0.09381854207
495	0.09370567702
496	0.09345851698
497	0.0931590682
498	0.09293874353
499	0.09258543352
500	0.0924626468
501	0.09209881655
502	0.09194897323
503	0.09160791631
504	0.09150748598
505	0.09134645139
506	0.09113517864
507	0.09092523798
508	0.09059272504
509	0.09044918022
510	0.09025657869
511	0.09006988095
512	0.08991415161
513	0.08982354353
514	0.08955333884
515	0.08928797625
516	0.08908082639
517	0.08872724058
518	0.08859238178
519	0.08836502735
520	0.08825997891
521	0.08800951533
522	0.08784425714
523	0.08775929946
524	0.087612071
525	0.08748938474
526	0.08738861835
527	0.08712577633
528	0.08695456623
529	0.08689040833
530	0.08680195785
531	0.08650075344
532	0.08633735457
533	0.08618418928
534	0.08596809461
535	0.0857530601
536	0.08551028558
537	0.08543024886
538	0.08530540952
539	0.08512036648
540	0.08481688973
541	0.08474831852
542	0.08437573957
543	0.08409977247
544	0.0839793794
545	0.08385990254
546	0.08368483151
547	0.08352661221
548	0.08337715652
549	0.08330637994
550	0.08318432476
551	0.08291669905
552	0.0828102645
553	0.08270621794
554	0.08261993545
555	0.08240225364
556	0.08209145142
557	0.08194072499
558	0.08185651338
559	0.08170847359
560	0.08151593733
561	0.08134430194
562	0.08119822536
563	0.08102485764
564	0.08075897641
565	0.08058971393
566	0.08044225242
567	0.08012638036
568	0.07992448032
569	0.07974209814
570	0.07953574247
571	0.07943863196
572	0.0792612896
573	0.07917485518
574	0.07882626964
575	0.07869212809
576	0.0785820215
577	0.07836544557
578	0.07825338074
579	0.07807989138
580	0.07801646943
581	0.07782137614
582	0.07764667992
583	0.07756158083
584	0.07740996888
585	0.07730192418
586	0.07709238383
587	0.07688701307
588	0.07670167227
589	0.0765373282
590	0.07640196247
591	0.07618761103
592	0.07608487475
593	0.07601653981
594	0.07583938976
595	0.07572515849
596	0.07551939481
597	0.0752168268
598	0.07510216608
599	0.07489170328
600	0.07473078316
601	0.0745114093
602	0.07436100797
603	0.07422064371
604	0.07403566388
605	0.07387692915
606	0.07377285541
607	0.07362969229
608	0.07339869723
609	0.07328528116
610	0.07317740612
611	0.0730327535
612	0.0729066921
613	0.07279603568
614	0.07261535256
615	0.0724294398
616	0.0722353949
617	0.07207700386
618	0.07191241892
619	0.07178179481
620	0.0717745655
621	0.07161834695
622	0.07155420355
623	0.07150393092
624	0.07142946675
625	0.07123772363
626	0.07105451409
627	0.07097354065
628	0.07080197038
629	0.07055682174
630	0.07048846984
631	0.07028327333
632	0.07006970301
633	0.0698690015
634	0.0697221182
635	0.06953995395
636	0.06938417442
637	0.06920851553
638	0.06904908447
639	0.0688788136
640	0.06873835257
641	0.06855429307
642	0.06840343018
643	0.06819746782
644	0.06802680962
645	0.06782816685
646	0.06767434556
647	0.06758806306
648	0.06751491344
649	0.06742341524
650	0.06731461407
651	0.06716864778
652	0.06683225084
653	0.06656148979
654	0.06649579113
655	0.06639302094
656	0.06624226794
657	0.06603633247
658	0.06586505682
659	0.06566008935
660	0.06551200282
661	0.0653672164
662	0.06521812711
663	0.06497983923
664	0.06490096534
665	0.06480442976
666	0.06475213171
667	0.06461434628
668	0.06436783237
669	0.06432526144
670	0.06422170171
671	0.06410560937
672	0.06399955025
673	0.06390112344
674	0.06376642798
675	0.06352115128
676	0.06342904859
677	0.06332157283
678	0.06330628654
679	0.06324032819
680	0.06318314811
681	0.06306910245
682	0.06294660603
683	0.06278256073
684	0.06265584062
685	0.06256494874
686	0.06247716435
687	0.06239193511
688	0.06227309521
689	0.0621982701
690	0.06209209073
691	0.06197792759
692	0.06187369997
693	0.06178870218
694	0.06168223903
695	0.06164801045
696	0.06158970056
697	0.06147103708
698	0.06137451689
699	0.06126069156
700	0.06119557882
701	0.06105111828
702	0.06093132027
703	0.06088626162
704	0.06081641526
705	0.06060390992
706	0.06037985833
707	0.06032334828
708	0.06015996735
709	0.0601041871
710	0.05998618143
711	0.05994263793
712	0.05985320963
713	0.059767152
714	0.05968779053
715	0.05963616155
716	0.05951832558
717	0.05938876733
718	0.05930422762
719	0.05915981673
720	0.05902198409
721	0.05890599113
722	0.05881348498
723	0.05873836552
724	0.05859948822
725	0.05839229067
726	0.05826900367
727	0.05817599455
728	0.0581240836
729	0.05806987957
730	0.05799407727
731	0.05795671886
732	0.05786907344
733	0.05769544278
734	0.05751375175
735	0.05741285281
736	0.05729921953
737	0.05722683345
738	0.05716308954
739	0.0570423672
740	0.05686849612
741	0.05676451456
742	0.05667669726
743	0.05657556586
744	0.05643545589
745	0.05641731758
746	0.05637784349
747	0.05630797618
748	0.05621704161
749	0.0561112245
750	0.05597081295
751	0.05588402646
752	0.0558199739
753	0.05572199152
754	0.055657281
755	0.05550418359
756	0.05536089621
757	0.05509756575
758	0.05502076292
759	0.05490503536
760	0.05476560646
761	0.05471148268
762	0.05454777585
763	0.05446755667
764	0.05446650642
765	0.05433014526
766	0.05424705949
767	0.05407814296
768	0.0539760528
769	0.05395400358
770	0.0538482483
771	0.05377130021
772	0.05365419823
773	0.05351430831
774	0.05338961975
775	0.05330696529
776	0.0531993403
777	0.05312369942
778	0.05303316133
779	0.05301406762
780	0.05297738561
781	0.05287809332
782	0.05279284909
783	0.05273547326
784	0.05262541098
785	0.05254068853
786	0.05247793577
787	0.05244069089
788	0.05235000385
789	0.05222284474
790	0.0521788451
791	0.05215386261
792	0.05212569839
793	0.05208203263
794	0.0520395168
795	0.05198621999
796	0.05191613387
797	0.05181466827
798	0.05174741213
799	0.05157998356
800	0.05155559905
801	0.05150510348
802	0.05140738481
803	0.05135612442
804	0.05128576644
805	0.05118464542
806	0.05112865912
807	0.05097049928
808	0.05093474829
809	0.05088509896
810	0.05080631276
811	0.05078304172
812	0.05064280407
813	0.05057415829
814	0.05053792741
815	0.05033112116
816	0.05027773138
817	0.05027346509
818	0.05012742208
819	0.05001272037
820	0.04992393511
821	0.04979502095
822	0.04970583813
823	0.04959212621
824	0.04945817265
825	0.04937886284
826	0.04932403614
827	0.04924136352
828	0.04912663073
829	0.04900950516
830	0.04890059641
831	0.04885252388
832	0.04879177591
833	0.04874480863
834	0.04862114054
835	0.04858797175
836	0.04849179759
837	0.04842860747
838	0.04826710455
839	0.04819008547
840	0.04817672567
841	0.04807318736
842	0.04800981622
843	0.047925327
844	0.04785955797
845	0.04785581626
846	0.04781518903
847	0.04778404732
848	0.0477445974
849	0.04766649612
850	0.04760980864
851	0.04743886113
852	0.04731752124
853	0.04729777016
854	0.04722367469
855	0.04717565137
856	0.04714875061
857	0.04706591727
858	0.04700080796
859	0.04691871197
860	0.0468530142
861	0.04670554305
862	0.04665767584
863	0.04664682987
864	0.04663130756
865	0.04656803952
866	0.04648238628
867	0.04638824626
868	0.04633647313
869	0.04629102628
870	0.04621031656
871	0.04619151872
872	0.04616765388
873	0.04612573198
874	0.04609606036
875	0.04604945527
876	0.04596224444
877	0.04589745759
878	0.04586746369
879	0.04582999272
880	0.04580595028
881	0.04578279819
882	0.04571433096
883	0.04565532173
884	0.04561213633
885	0.04556265937
886	0.04545087559
887	0.04524772044
888	0.04519454255
889	0.04515654381
890	0.04515210401
891	0.04514869026
892	0.04506693854
893	0.04503448542
894	0.04492469379
895	0.0448223617
896	0.04477276589
897	0.0446934656
898	0.04463952909
899	0.04453624317
900	0.04450070109
901	0.04444947777
902	0.04432933763
903	0.04427620231
904	0.04417168081
905	0.04398298538
906	0.04393597626
907	0.04386139659
908	0.04375166103
909	0.04368387859
910	0.0436738811
911	0.0436509964
912	0.04358622607
913	0.04353293306
914	0.04341110703
915	0.04328362172
916	0.04325574936
917	0.04320970081
918	0.04318212381
919	0.04315172163
920	0.04311521406
921	0.04300453376
922	0.04291816959
923	0.04288029434
924	0.04274858345
925	0.04263603485
926	0.0425924815
927	0.04255161657
928	0.04251317673
929	0.04246266649
930	0.04232123034
931	0.04227308214
932	0.04220983595
933	0.04207505854
934	0.04202207847
935	0.04196893949
936	0.04192455857
937	0.04185384605
938	0.04175947574
939	0.04170164989
940	0.04168426574
941	0.04160645951
942	0.04155400466
943	0.04150826594
944	0.04143861967
945	0.04138430234
946	0.04132869205
947	0.04123239896
948	0.04115202845
949	0.04113142863
950	0.0410295033
951	0.04102131275
952	0.04096954553
953	0.04091864125
954	0.04087467033
955	0.04072627716
956	0.04060175785
957	0.04056523047
958	0.04051310482
959	0.04047183116
960	0.04037603813
961	0.0402707211
962	0.04022222239
963	0.04015539582
964	0.04007665338
965	0.03996978463
966	0.03989446755
967	0.03983581055
968	0.03978832285
969	0.03969993901
970	0.0396629153
971	0.03960002327
972	0.03958009093
973	0.03947838196
974	0.03942017122
975	0.03937786668
976	0.03930647505
977	0.03926588345
978	0.0391765455
979	0.03915018458
980	0.03906652393
981	0.03903574326
982	0.03900415213
983	0.03896223144
984	0.03887802109
985	0.03883621982
986	0.03874362303
987	0.03866801618
988	0.03866743592
989	0.0386467241
990	0.03854226783
991	0.03847976553
992	0.03843574397
993	0.03839692361
994	0.03835820737
995	0.03833597081
996	0.03828506066
997	0.03825667363
998	0.03822530429
999	0.0381938025
