iter	Passed	Remaining
630	45566	26646
631	45640	26575
632	45708	26500
633	45809	26445
634	45890	26377
635	45967	26308
636	46029	26230
637	46119	26168
638	46203	26102
639	46268	26026
640	46339	25952
641	46430	25890
642	46506	25820
643	46597	25758
644	46753	25732
645	46848	25672
646	46922	25600
647	46992	25526
648	47031	25436
649	47092	25357
650	47178	25292
651	47249	25218
652	47328	25150
653	47408	25081
654	47469	25003
655	47532	24925
656	47607	24854
657	47673	24778
658	47725	24695
659	47818	24633
660	47911	24571
661	47978	24496
662	48112	24455
663	48243	24412
664	48346	24355
665	48428	24287
666	48539	24233
667	48611	24160
668	48714	24102
669	48828	24049
670	48930	23991
671	48999	23916
672	49073	23843
673	49137	23766
674	49241	23708
675	49323	23640
676	49408	23573
677	49472	23496
678	49570	23434
679	49643	23361
680	49689	23275
681	49791	23216
682	49898	23159
683	49955	23078
684	50003	22994
685	50054	22911
686	50099	22825
687	50135	22735
688	50166	22644
689	50194	22551
690	50223	22458
691	50253	22367
692	50284	22275
693	50326	22190
694	50382	22110
695	50420	22022
696	50474	21942
697	50534	21864
698	50599	21788
699	50655	21709
700	50723	21635
701	50789	21560
702	50881	21496
703	50955	21424
704	51022	21349
705	51103	21281
706	51186	21213
707	51249	21136
708	51331	21068
709	51406	20996
710	51480	20925
711	51546	20850
712	51612	20775
713	51689	20704
714	51788	20643
715	51858	20569
716	51992	20521
717	52061	20447
718	52127	20372
719	52213	20305
720	52284	20232
721	52342	20154
722	52402	20076
723	52475	20004
724	52535	19927
725	52607	19854
726	52688	19785
727	52764	19714
728	52849	19646
729	52937	19579
730	53022	19511
731	53092	19438
732	53148	19359
733	53221	19287
734	53289	19213
735	53354	19137
736	53418	19062
737	53480	18986
738	53569	18919
739	53640	18846
740	53707	18772
741	53770	18696
742	53832	18620
743	53923	18554
744	54000	18483
745	54069	18409
746	54148	18339
747	54212	18264
748	54285	18191
749	54346	18115
750	54415	18041
751	54485	17968
752	54576	17902
753	54636	17825
754	54713	17754
755	54768	17676
756	54832	17601
757	54928	17536
758	54999	17463
759	55086	17395
760	55167	17325
761	55249	17256
762	55326	17185
763	55402	17113
764	55469	17039
765	55521	16960
766	55595	16888
767	55654	16812
768	55737	16742
769	55808	16670
770	55874	16595
771	55956	16525
772	56035	16455
773	56107	16382
774	56192	16313
775	56258	16239
776	56363	16176
777	56409	16096
778	56486	16025
779	56562	15953
780	56629	15879
781	56714	15810
782	56831	15750
783	56942	15688
784	57021	15617
785	57084	15542
786	57162	15470
787	57247	15401
788	57337	15333
789	57424	15264
790	57495	15191
791	57559	15116
792	57654	15049
793	57712	14973
794	57774	14897
795	57896	14837
796	57991	14770
797	58058	14696
798	58126	14622
799	58193	14548
800	58261	14474
801	58342	14403
802	58422	14332
803	58527	14267
804	58605	14196
805	58757	14142
806	58852	14074
807	58951	14008
808	59028	13936
809	59088	13860
810	59151	13784
811	59212	13709
812	59278	13634
813	59332	13557
814	59394	13482
815	59463	13408
816	59523	13332
817	59590	13258
818	59650	13182
819	59720	13109
820	59788	13035
821	59854	12961
822	59933	12889
823	60011	12817
824	60103	12749
825	60180	12677
826	60244	12602
827	60357	12538
828	60415	12461
829	60487	12388
830	60533	12310
831	60582	12232
832	60641	12157
833	60708	12083
834	60774	12009
835	60853	11937
836	60920	11863
837	60999	11792
838	61072	11719
839	61138	11645
840	61225	11575
841	61282	11499
842	61350	11425
843	61409	11350
844	61475	11276
845	61524	11199
846	61596	11126
847	61641	11048
848	61698	10973
849	61763	10899
850	61824	10824
851	61910	10754
852	61974	10680
853	62056	10609
854	62125	10535
855	62184	10461
856	62260	10388
857	62324	10314
858	62370	10237
859	62435	10163
860	62499	10089
861	62573	10017
862	62641	9944
863	62698	9869
864	62748	9793
865	62810	9719
866	62882	9646
867	62935	9570
868	62985	9494
869	63037	9419
870	63106	9346
871	63174	9273
872	63236	9199
873	63295	9124
874	63355	9050
875	63412	8976
876	63461	8900
877	63542	8829
878	63592	8753
879	63645	8678
880	63711	8605
881	63775	8532
882	63837	8458
883	63920	8387
884	64002	8316
885	64076	8244
886	64141	8171
887	64189	8095
888	64265	8024
889	64329	7950
890	64394	7877
891	64461	7804
892	64526	7731
893	64608	7660
894	64682	7588
895	64748	7515
896	64822	7443
897	64874	7368
898	64949	7296
899	65035	7226
900	65100	7153
901	65169	7080
902	65222	7006
903	65270	6931
904	65340	6858
905	65420	6787
906	65481	6714
907	65568	6643
908	65657	6572
909	65716	6499
910	65786	6426
911	65846	6353
912	65910	6280
913	65954	6205
914	66021	6133
915	66107	6062
916	66181	5990
917	66261	5918
918	66329	5846
919	66396	5773
920	66453	5700
921	66498	5625
922	66546	5551
923	66609	5478
924	66669	5405
925	66727	5332
926	66788	5259
927	66858	5187
928	66927	5114
929	67027	5045
930	67116	4974
931	67166	4900
932	67229	4827
933	67293	4755
934	67357	4682
935	67443	4611
936	67530	4540
937	67582	4467
938	67640	4394
939	67712	4322
940	67773	4249
941	67846	4177
942	67911	4104
943	67973	4032
944	68061	3961
945	68126	3888
946	68181	3815
947	68246	3743
948	68302	3670
949	68355	3597
950	68410	3524
951	68477	3452
952	68541	3380
953	68589	3307
954	68633	3234
955	68692	3161
956	68743	3088
957	68798	3016
958	68917	2946
959	69008	2875
960	69066	2802
961	69141	2731
962	69187	2658
963	69235	2585
964	69292	2513
965	69339	2440
966	69396	2368
967	69444	2295
968	69503	2223
969	69552	2151
970	69600	2078
971	69648	2006
972	69684	1933
973	69721	1861
974	69768	1788
975	69820	1716
976	69877	1645
977	69922	1572
978	69967	1500
979	70034	1429
980	70069	1357
981	70099	1284
982	70146	1213
983	70211	1141
984	70261	1069
985	70305	998
986	70361	926
987	70438	855
988	70470	783
989	70529	712
990	70586	641
991	70635	569
992	70681	498
993	70740	427
994	70797	355
995	70853	284
996	70906	213
997	70957	142
998	71036	71
999	71100	0
